Top pages,Clicks,Impressions,CTR,Position
https://www.pizzadeig.is/,21,812,2.59%,18.81
https://pizzadeig.is/en,16,695,2.3%,13.05
https://www.pizzadeig.is/is/stadir,6,1017,0.59%,33.7
https://pizzadeig.is/is/uppskriftir/sannkallad-napoli-deig,5,39,12.82%,9.38
https://www.pizzadeig.is/en/uppskriftir/sannkallad-napoli-deig,4,219,1.83%,5.84
https://www.pizzadeig.is/is/stadir/pizzafjordur,4,157,2.55%,25.03
https://pizzadeig.is/is/stadir/reykjavik-pizzeria,3,286,1.05%,20.54
https://www.pizzadeig.is/is/stadir/napoli-pizza-rvk,3,273,1.1%,10.79
https://www.pizzadeig.is/en/stadir/olifa-la-madre,3,183,1.64%,7.8
https://www.pizzadeig.is/is/stadir/pizza-braedur-mosfellsbaer,3,97,3.09%,26.08
https://www.pizzadeig.is/en/stadir,2,398,0.5%,26.62
https://www.pizzadeig.is/en/flokkar/deig,2,121,1.65%,10.44
https://pizzadeig.is/budin,2,44,4.55%,10.32
https://www.pizzadeig.is/en/stadir/napoli-pizza-rvk,1,629,0.16%,13.91
https://www.pizzadeig.is/en/stadir/pizza-with-no-name,1,171,0.58%,31.16
https://www.pizzadeig.is/is/stadir/bakabaka,1,44,2.27%,19.73
https://www.pizzadeig.is/is/samfelag,1,28,3.57%,49.14
https://www.pizzadeig.is/is/stadir/pizza-with-no-name,1,28,3.57%,50.5
https://www.pizzadeig.is/is/flokkar/sosur,1,23,4.35%,21.57
https://www.pizzadeig.is/en/flokkar/sosur,1,22,4.55%,8.73
https://www.pizzadeig.is/en/stilar,0,110,0%,23.56
https://pizzadeig.is/en/stadir/daddis-pizza,0,107,0%,27.26
https://www.pizzadeig.is/en/stadir/islenska-flatbakan,0,80,0%,32.99
https://pizzadeig.is/en/uppskriftir/hvita-pizzan,0,59,0%,7.05
https://www.pizzadeig.is/is/stadir/flatey-pizza-gardabaer,0,59,0%,9.81
https://www.pizzadeig.is/en/uppskriftir/hvit-sosa,0,54,0%,15.85
https://pizzadeig.is/is/stadir/castello-hafnarfjordur,0,50,0%,9.6
https://pizzadeig.is/en/uppskriftir/quattro-formaggi,0,42,0%,12.24
https://www.pizzadeig.is/is/deigreiknivel,0,42,0%,36.88
https://www.pizzadeig.is/en/stadir/flatey-pizza-gardabaer,0,37,0%,9.24
https://www.pizzadeig.is/en/stadir/bakabaka,0,37,0%,11.32
https://www.pizzadeig.is/is/stadir/daddis-pizza,0,32,0%,62.69
https://www.pizzadeig.is/en/stadir/kaffi-krus,0,25,0%,37.6
https://www.pizzadeig.is/is/flokkar/ostur,0,24,0%,10.62
https://www.pizzadeig.is/en/tengilidir,0,23,0%,51.13
https://www.pizzadeig.is/is/flokkar/deig,0,21,0%,12.24
https://www.pizzadeig.is/is/um-okkur,0,19,0%,71.16
https://pizzadeig.is/en/uppskriftir/sannkallad-napoli-deig,0,16,0%,5.38
https://www.pizzadeig.is/is/stadir/islenska-flatbakan,0,16,0%,8.38
https://www.pizzadeig.is/is/tengilidir,0,16,0%,69.75
https://www.pizzadeig.is/is/stadir/castello-hafnarfjordur,0,9,0%,9.33
https://www.pizzadeig.is/en,0,7,0%,15.29
https://www.pizzadeig.is/en/samfelag,0,5,0%,21.8
https://www.pizzadeig.is/en/notandi/login,0,5,0%,22.6
https://pizzadeig.is/is/uppskriftir/detroit-deig,0,4,0%,8.75
https://www.pizzadeig.is/is/uppskriftir/detroit-deig,0,4,0%,30.75
https://www.pizzadeig.is/is/notandi/login,0,3,0%,33.33
https://www.pizzadeig.is/is/topplisti,0,3,0%,36.67
https://pizzadeig.is/en/uppskriftir/detroit-deig,0,2,0%,5.5
https://www.pizzadeig.is/en/uppskriftir/hvita-pizzan,0,2,0%,8.5
https://www.pizzadeig.is/is/stadir/kaffi-krus,0,2,0%,16
https://www.pizzadeig.is/en/personuvernd,0,1,0%,10
https://www.pizzadeig.is/is/personuvernd,0,1,0%,31
